Timestamp,CPU Usage (%),RAM Usage (%),CPU Temp (°C),Disk Read (KB/s),Disk Write (KB/s),Network Out (KB/s),Process ID,Process Name,Ransomware
2025-03-10 12:56:55,25.1,51.1,58.375,436.12,277.53,0.0,1,systemd,0
2025-03-10 12:56:58,7.2,51.1,55.125,142.76,151.84,0.0,1164,gnome-shell,0
2025-03-10 12:57:00,17.0,51.1,51.875,85.57,144.69,0.0,1164,gnome-shell,0
2025-03-10 12:57:02,26.5,51.1,58.75,69.95,228.17,0.0,1164,gnome-shell,0
2025-03-10 12:57:04,22.3,51.1,55.625,67.78,199.02,0.04,2873,nautilus,0
2025-03-10 12:57:06,21.4,51.1,52.375,58.95,178.62,0.04,2873,nautilus,0
2025-03-10 12:57:08,13.2,51.1,49.75,72.49,165.47,0.04,1164,gnome-shell,0
2025-03-10 12:57:10,9.3,51.1,46.5,62.81,155.57,0.03,1164,gnome-shell,0
2025-03-10 12:57:12,24.5,51.1,63.0,56.34,178.22,0.03,1164,gnome-shell,0
2025-03-10 12:57:14,2.6,51.1,59.875,50.45,168.62,0.03,1164,gnome-shell,0
2025-03-10 12:57:16,17.6,51.1,56.625,45.64,165.86,0.12,1164,gnome-shell,0
2025-03-10 12:57:18,13.3,51.1,53.375,41.99,160.03,0.27,2873,nautilus,0
2025-03-10 12:57:20,11.7,51.1,69.375,39.29,155.13,0.54,9012,firefox,0
2025-03-10 12:57:22,18.9,51.1,66.25,36.69,156.71,0.67,1164,gnome-shell,0
2025-03-10 12:57:24,10.2,51.1,63.0,34.15,210.73,0.62,2873,nautilus,0
2025-03-10 12:57:26,34.5,50.3,60.25,1608.05,210.19,0.58,9678,gjs,0
2025-03-10 12:57:28,18.1,50.2,57.125,4934.46,202.55,0.55,2873,nautilus,0
2025-03-10 12:57:30,15.4,49.8,53.875,7096.23,895.08,0.52,2873,nautilus,0
2025-03-10 12:57:32,9.3,49.9,50.625,7318.58,2653.4,0.49,1164,gnome-shell,0
2025-03-10 12:57:35,11.3,50.0,47.5,8085.43,3751.43,0.46,2873,nautilus,0
2025-03-10 12:57:37,10.9,50.0,44.25,9057.75,4562.95,0.44,2873,nautilus,0
2025-03-10 12:57:39,8.8,49.8,41.5,9485.28,5597.91,0.42,2873,nautilus,0
2025-03-10 12:57:41,12.8,49.9,47.75,10060.46,6857.59,0.4,2873,nautilus,0
2025-03-10 12:57:43,13.5,49.8,44.5,10314.81,8108.77,0.39,2873,nautilus,0
2025-03-10 12:57:45,14.4,49.8,41.5,10548.32,9456.8,0.38,1164,gnome-shell,0
2025-03-10 12:57:47,77.4,50.6,67.5,12087.62,9437.08,0.46,9315,Isolated Web Co,0
2025-03-10 12:57:49,29.9,50.8,64.25,13064.32,9948.53,0.45,9012,firefox,0
2025-03-10 12:57:51,27.6,50.7,61.0,15404.97,9585.07,0.43,2873,nautilus,0
2025-03-10 12:57:53,13.8,50.6,57.875,16112.95,10440.04,0.47,9012,firefox,0
2025-03-10 12:57:55,18.5,50.8,54.75,16140.92,11853.36,0.45,9012,firefox,0
2025-03-10 12:57:57,29.7,50.7,52.75,16521.31,12325.45,0.44,9012,firefox,0
2025-03-10 12:57:59,33.9,50.8,52.875,16283.42,12756.47,0.42,9012,firefox,0
2025-03-10 12:58:01,54.1,50.7,61.0,17039.14,13074.44,0.42,9012,firefox,0
2025-03-10 12:58:03,27.7,50.6,58.25,17796.21,13460.85,0.44,9012,firefox,0
2025-03-10 12:58:05,30.7,50.7,64.875,17516.58,14119.46,0.53,9012,firefox,0
2025-03-10 12:58:07,26.8,51.1,61.625,17369.43,14953.6,0.56,9012,firefox,0
2025-03-10 12:58:09,42.0,50.8,59.0,17546.96,15081.51,0.55,9012,firefox,0
2025-03-10 12:58:12,28.3,50.8,55.875,17822.62,15339.33,0.54,9012,firefox,0
2025-03-10 12:58:14,34.7,51.1,62.375,18714.52,15110.17,0.62,9012,firefox,0
2025-03-10 12:58:16,14.5,51.1,59.25,18924.81,15584.91,0.63,9012,firefox,0
2025-03-10 12:58:18,9.4,51.1,56.0,18744.92,16608.44,0.61,2873,nautilus,0
2025-03-10 12:58:20,40.9,51.2,62.375,19370.56,16638.45,0.6,9012,firefox,0
2025-03-10 12:58:22,5.6,51.0,59.375,19747.01,16843.23,0.59,2873,nautilus,0
2025-03-10 12:58:24,23.3,51.0,57.25,20046.49,17441.28,0.58,9012,firefox,0
2025-03-10 12:58:26,38.3,51.1,57.125,20165.04,17819.78,0.57,9012,firefox,0
2025-03-10 12:58:28,29.2,51.1,64.125,19947.41,18321.92,0.62,9315,Isolated Web Co,0
2025-03-10 12:58:30,27.5,51.2,61.0,20371.85,18304.42,0.62,2873,nautilus,0
2025-03-10 12:58:32,6.7,51.3,57.75,20388.92,18559.35,0.61,2873,nautilus,0
2025-03-10 12:58:34,7.7,51.3,54.625,20140.02,19060.92,0.6,1164,gnome-shell,0
2025-03-10 12:58:36,20.5,51.3,51.25,20043.97,19361.17,0.59,9315,Isolated Web Co,0
